year,id,ext,den,cal,Reef
1982,200B09,0.5840,1.4800,0.8640,200
1983,200B09,0.7703,1.4950,1.1516,200
1984,200B09,0.7110,1.4440,1.0270,200
1985,200B09,0.7110,1.4430,1.0260,200
1986,200B09,0.6860,1.4650,1.0050,200
1987,200B09,0.6600,1.4650,0.9670,200
1988,200B09,0.7370,1.5080,1.1100,200
1961,200B12,0.5080,1.5470,0.7860,200
1962,200B12,0.9910,1.4760,1.4620,200
1963,200B12,0.6100,1.4080,0.8580,200
1964,200B12,0.7870,1.3600,1.0710,200
1965,200B12,0.5330,1.3920,0.7430,200
1966,200B12,0.8890,1.4240,1.2660,200
1967,200B12,0.6860,1.3980,0.9590,200
1968,200B12,0.6860,1.3690,0.9390,200
1969,200B12,0.7870,1.3510,1.0630,200
1970,200B12,1.0670,1.3510,1.4410,200
1971,200B12,0.6100,1.3560,0.8270,200
1972,200B12,0.6860,1.3830,0.9480,200
1973,200B12,0.4570,1.3930,0.6370,200
1974,200B12,1.0160,1.3840,1.4060,200
1975,200B12,0.8890,1.4060,1.2500,200
1976,200B12,0.4570,1.4090,0.6440,200
1977,200B12,0.8890,1.3990,1.2440,200
1978,200B12,0.5330,1.4130,0.7530,200
1979,200B12,0.7363,1.4560,1.0721,200
1980,200B12,0.4570,1.4410,0.6590,200
1981,200B12,0.8380,1.4520,1.2170,200
1982,200B12,0.4570,1.4200,0.6490,200
1983,200B12,0.4570,1.4180,0.6480,200
1984,200B12,0.5840,1.4170,0.8280,200
1985,200B12,0.8640,1.4680,1.2680,200
1986,200B12,0.8130,1.4940,1.2140,200
1987,200B12,0.6100,1.5370,0.9370,200
1988,200B12,0.5210,1.5140,0.7888,200
1645,ABR01A,1.5240,1.4080,2.1450,ABR
1646,ABR01A,1.2190,1.3160,1.6040,ABR
1647,ABR01A,0.5590,1.2670,0.7080,ABR
1648,ABR01A,1.1940,1.3210,1.5770,ABR
1649,ABR01A,0.9140,1.3540,1.2380,ABR
1650,ABR01A,0.7870,1.3930,1.0970,ABR
1651,ABR01A,1.2700,1.4040,1.7820,ABR
1652,ABR01A,0.6860,1.3900,0.9530,ABR
1653,ABR01A,0.9140,1.4390,1.3160,ABR
1654,ABR01A,0.6350,1.4290,0.9070,ABR
1655,ABR01A,0.5840,1.4060,0.8210,ABR
1656,ABR01A,0.9140,1.4170,1.2960,ABR
1657,ABR01A,0.6350,1.4290,0.9080,ABR
1658,ABR01A,0.5590,1.4250,0.7960,ABR
1659,ABR01A,0.8640,1.4170,1.2230,ABR
1660,ABR01A,0.8130,1.4400,1.1700,ABR
1661,ABR01A,0.6100,1.4440,0.8800,ABR
1662,ABR01A,0.8130,1.4140,1.1500,ABR
1663,ABR01A,0.7370,1.4250,1.0490,ABR
1664,ABR01A,0.6350,1.3890,0.8820,ABR
1665,ABR01A,0.6600,1.4260,0.9420,ABR
1666,ABR01A,0.6350,1.4210,0.9030,ABR
1667,ABR01A,0.8380,1.4020,1.1750,ABR
1668,ABR01A,0.6350,1.4420,0.9150,ABR
1669,ABR01A,0.9650,1.3870,1.3390,ABR
1670,ABR01A,0.8640,1.3150,1.1360,ABR
1671,ABR01A,0.5840,1.3070,0.7640,ABR
1672,ABR01A,0.7110,1.3310,0.9470,ABR
1673,ABR01A,0.9140,1.3390,1.2240,ABR
1674,ABR01A,0.7620,1.3560,1.0340,ABR
1675,ABR01A,0.5330,1.3640,0.7270,ABR
1676,ABR01A,1.0920,1.3350,1.4580,ABR
1677,ABR01A,0.6600,1.3550,0.8950,ABR
1678,ABR01A,0.8890,1.3320,1.1840,ABR
1679,ABR01A,0.8130,1.2940,1.0520,ABR
1680,ABR01A,0.9140,1.3030,1.1910,ABR
1681,ABR01A,0.7110,1.2770,0.9080,ABR
1682,ABR01A,0.8380,1.2960,1.0860,ABR
1683,ABR01A,0.8130,1.2890,1.0470,ABR
1684,ABR01A,0.8130,1.2800,1.0400,ABR
1685,ABR01A,0.8380,1.2920,1.0830,ABR
1686,ABR01A,1.4480,1.3220,1.9130,ABR
1687,ABR01A,0.8640,1.2760,1.1020,ABR
1688,ABR01A,0.6860,1.3050,0.8950,ABR
1689,ABR01A,0.6600,1.3110,0.8660,ABR
1690,ABR01A,0.7870,1.3420,1.0570,ABR
1691,ABR01A,0.7110,1.3390,0.9520,ABR
1692,ABR01A,0.6600,1.3140,0.8670,ABR
1693,ABR01A,0.6600,1.2910,0.8521,ABR
1694,ABR01A,0.6600,1.1530,0.7610,ABR
1695,ABR01A,0.5330,1.1090,0.5910,ABR
1696,ABR01A,1.2950,1.1810,1.5300,ABR
1697,ABR01A,1.1180,1.2110,1.3530,ABR
1698,ABR01A,0.6100,1.2200,0.7440,ABR
1699,ABR01A,0.7370,1.2390,0.9130,ABR
1700,ABR01A,0.7620,1.2510,0.9530,ABR
1701,ABR01A,0.7110,1.2970,0.9230,ABR
1702,ABR01A,0.7110,1.1810,0.8400,ABR
1703,ABR01A,0.5590,1.1000,0.6150,ABR
1704,ABR01A,1.0410,1.2070,1.2570,ABR
